Here are the results of all of the algorithms I have sumbitted so far.

Seive: 54 points
/data/course_traces/trace_0.lcs.zst seive cache size 7027, 1974971 req, miss ratio 0.7096, byte miss ratio 0.7096
/data/course_traces/trace_7.lcs.zst s3 cache size 16460, 9388362 req, miss ratio 0.0989, byte miss ratio 0.0989
/data/course_traces/trace_8.lcs.zst s3 cache size 3225, 2288064 req, miss ratio 0.7567, byte miss ratio 0.7567
/data/course_traces/trace_8.lcs.zst s3 cache size 32254, 2288064 req, miss ratio 0.5089, byte miss ratio 0.5089
/data/course_traces/trace_9.lcs.zst s3 cache size 7164, 3354127 req, miss ratio 0.7220, byte miss ratio 0.7220
/data/course_traces/trace_9.lcs.zst s3 cache size 71647, 3354127 req, miss ratio 0.3853, byte miss ratio 0.3853

s3fifo with 10% small cache and 100% ghost cache: 73 points
/data/course_traces/trace_0.lcs.zst s3fifo cache size 7027, 1974971 req, miss ratio 0.6788, byte miss ratio 0.6788
/data/course_traces/trace_0.lcs.zst s3fifo cache size 70273, 1974971 req, miss ratio 0.4538, byte miss ratio 0.4538
/data/course_traces/trace_1.lcs.zst s3fifo cache size 1241, 3335779 req, miss ratio 0.7305, byte miss ratio 0.7305
/data/course_traces/trace_1.lcs.zst s3fifo cache size 12414, 3335779 req, miss ratio 0.6236, byte miss ratio 0.6236
/data/course_traces/trace_2.lcs.zst s3fifo cache size 3762, 4764142 req, miss ratio 0.7276, byte miss ratio 0.7276
/data/course_traces/trace_2.lcs.zst s3fifo cache size 37627, 4764142 req, miss ratio 0.3951, byte miss ratio 0.3951
/data/course_traces/trace_3.lcs.zst s3fifo cache size 728, 1151864 req, miss ratio 0.6119, byte miss ratio 0.6119
/data/course_traces/trace_3.lcs.zst s3fifo cache size 7282, 1151864 req, miss ratio 0.1688, byte miss ratio 0.1688
/data/course_traces/trace_4.lcs.zst s3fifo cache size 4263, 4901223 req, miss ratio 0.4290, byte miss ratio 0.4290
/data/course_traces/trace_4.lcs.zst s3fifo cache size 42632, 4901223 req, miss ratio 0.1607, byte miss ratio 0.1607
/data/course_traces/trace_5.lcs.zst s3fifo cache size 4915, 5318502 req, miss ratio 0.7590, byte miss ratio 0.7590
/data/course_traces/trace_5.lcs.zst s3fifo cache size 49156, 5318502 req, miss ratio 0.2028, byte miss ratio 0.2028
/data/course_traces/trace_6.lcs.zst s3fifo cache size 7555, 5954974 req, miss ratio 0.6364, byte miss ratio 0.6364
/data/course_traces/trace_6.lcs.zst s3fifo cache size 75551, 5954974 req, miss ratio 0.3271, byte miss ratio 0.3271
/data/course_traces/trace_7.lcs.zst s3fifo cache size 1646, 9388362 req, miss ratio 0.2687, byte miss ratio 0.2687
/data/course_traces/trace_7.lcs.zst s3fifo cache size 16460, 9388362 req, miss ratio 0.0987, byte miss ratio 0.0987
/data/course_traces/trace_8.lcs.zst s3fifo cache size 3225, 2288064 req, miss ratio 0.7547, byte miss ratio 0.7547
/data/course_traces/trace_8.lcs.zst s3fifo cache size 32254, 2288064 req, miss ratio 0.5087, byte miss ratio 0.5087
/data/course_traces/trace_9.lcs.zst s3fifo cache size 7164, 3354127 req, miss ratio 0.7197, byte miss ratio 0.7197
/data/course_traces/trace_9.lcs.zst s3fifo cache size 71647, 3354127 req, miss ratio 0.3819, byte miss ratio 0.3819

s3fifo with 10% small cache and 300% ghost cache: 74 points
/data/course_traces/trace_0.lcs.zst s3fifo cache size 7027, 1974971 req, miss ratio 0.6772, byte miss ratio 0.6772
/data/course_traces/trace_0.lcs.zst s3fifo cache size 70273, 1974971 req, miss ratio 0.4680, byte miss ratio 0.4680
/data/course_traces/trace_1.lcs.zst s3fifo cache size 1241, 3335779 req, miss ratio 0.7307, byte miss ratio 0.7307
/data/course_traces/trace_1.lcs.zst s3fifo cache size 12414, 3335779 req, miss ratio 0.6263, byte miss ratio 0.6263
/data/course_traces/trace_2.lcs.zst s3fifo cache size 3762, 4764142 req, miss ratio 0.7180, byte miss ratio 0.7180
/data/course_traces/trace_2.lcs.zst s3fifo cache size 37627, 4764142 req, miss ratio 0.3860, byte miss ratio 0.3860
/data/course_traces/trace_3.lcs.zst s3fifo cache size 728, 1151864 req, miss ratio 0.6031, byte miss ratio 0.6031
/data/course_traces/trace_3.lcs.zst s3fifo cache size 7282, 1151864 req, miss ratio 0.1788, byte miss ratio 0.1788
/data/course_traces/trace_4.lcs.zst s3fifo cache size 4263, 4901223 req, miss ratio 0.4278, byte miss ratio 0.4278
/data/course_traces/trace_4.lcs.zst s3fifo cache size 42632, 4901223 req, miss ratio 0.1793, byte miss ratio 0.1793
/data/course_traces/trace_5.lcs.zst s3fifo cache size 4915, 5318502 req, miss ratio 0.7562, byte miss ratio 0.7562
/data/course_traces/trace_5.lcs.zst s3fifo cache size 49156, 5318502 req, miss ratio 0.2005, byte miss ratio 0.2005
/data/course_traces/trace_6.lcs.zst s3fifo cache size 7555, 5954974 req, miss ratio 0.6347, byte miss ratio 0.6347
/data/course_traces/trace_6.lcs.zst s3fifo cache size 75551, 5954974 req, miss ratio 0.3440, byte miss ratio 0.3440
/data/course_traces/trace_7.lcs.zst s3fifo cache size 1646, 9388362 req, miss ratio 0.2222, byte miss ratio 0.2222
/data/course_traces/trace_7.lcs.zst s3fifo cache size 16460, 9388362 req, miss ratio 0.0869, byte miss ratio 0.0869
/data/course_traces/trace_8.lcs.zst s3fifo cache size 3225, 2288064 req, miss ratio 0.7544, byte miss ratio 0.7544
/data/course_traces/trace_8.lcs.zst s3fifo cache size 32254, 2288064 req, miss ratio 0.5400, byte miss ratio 0.5400
/data/course_traces/trace_9.lcs.zst s3fifo cache size 7164, 3354127 req, miss ratio 0.7175, byte miss ratio 0.7175
/data/course_traces/trace_9.lcs.zst s3fifo cache size 71647, 3354127 req, miss ratio 0.3778, byte miss ratio 0.3778

s3fifo with 12% small cache and 300% ghost cache: 72 points
/data/course_traces/trace_0.lcs.zst s3fifo12 cache size 7027, 1974971 req, miss ratio 0.6780, byte miss ratio 0.6780
/data/course_traces/trace_0.lcs.zst s3fifo12 cache size 70273, 1974971 req, miss ratio 0.4438, byte miss ratio 0.4438
/data/course_traces/trace_1.lcs.zst s3fifo12 cache size 1241, 3335779 req, miss ratio 0.7309, byte miss ratio 0.7309
/data/course_traces/trace_1.lcs.zst s3fifo12 cache size 12414, 3335779 req, miss ratio 0.6074, byte miss ratio 0.6074
/data/course_traces/trace_2.lcs.zst s3fifo12 cache size 3762, 4764142 req, miss ratio 0.7199, byte miss ratio 0.7199
/data/course_traces/trace_2.lcs.zst s3fifo12 cache size 37627, 4764142 req, miss ratio 0.3816, byte miss ratio 0.3816
/data/course_traces/trace_3.lcs.zst s3fifo12 cache size 728, 1151864 req, miss ratio 0.6079, byte miss ratio 0.6079
/data/course_traces/trace_3.lcs.zst s3fifo12 cache size 7282, 1151864 req, miss ratio 0.1875, byte miss ratio 0.1875
/data/course_traces/trace_4.lcs.zst s3fifo12 cache size 4263, 4901223 req, miss ratio 0.4246, byte miss ratio 0.4246
/data/course_traces/trace_4.lcs.zst s3fifo12 cache size 42632, 4901223 req, miss ratio 0.1920, byte miss ratio 0.1920
/data/course_traces/trace_5.lcs.zst s3fifo12 cache size 4915, 5318502 req, miss ratio 0.7564, byte miss ratio 0.7564
/data/course_traces/trace_5.lcs.zst s3fifo12 cache size 49156, 5318502 req, miss ratio 0.2011, byte miss ratio 0.2011
/data/course_traces/trace_6.lcs.zst s3fifo12 cache size 7555, 5954974 req, miss ratio 0.6354, byte miss ratio 0.6354
/data/course_traces/trace_6.lcs.zst s3fifo12 cache size 75551, 5954974 req, miss ratio 0.3540, byte miss ratio 0.3540
/data/course_traces/trace_7.lcs.zst s3fifo12 cache size 1646, 9388362 req, miss ratio 0.2486, byte miss ratio 0.2486
/data/course_traces/trace_7.lcs.zst s3fifo12 cache size 16460, 9388362 req, miss ratio 0.0861, byte miss ratio 0.0861
/data/course_traces/trace_8.lcs.zst s3fifo12 cache size 3225, 2288064 req, miss ratio 0.7539, byte miss ratio 0.7539
/data/course_traces/trace_8.lcs.zst s3fifo12 cache size 32254, 2288064 req, miss ratio 0.4810, byte miss ratio 0.4810
/data/course_traces/trace_9.lcs.zst s3fifo12 cache size 7164, 3354127 req, miss ratio 0.7176, byte miss ratio 0.7176
/data/course_traces/trace_9.lcs.zst s3fifo12 cache size 71647, 3354127 req, miss ratio 0.3791, byte miss ratio 0.3791

s3fifoo with 11% small cache and 400% ghost cache: 76 points
/data/course_traces/trace_0.lcs.zst s3fifo cache size 7027, 1974971 req, miss ratio 0.6774, byte miss ratio 0.6774
/data/course_traces/trace_0.lcs.zst s3fifo cache size 70273, 1974971 req, miss ratio 0.4678, byte miss ratio 0.4678
/data/course_traces/trace_1.lcs.zst s3fifo cache size 1241, 3335779 req, miss ratio 0.7305, byte miss ratio 0.7305
/data/course_traces/trace_1.lcs.zst s3fifo cache size 12414, 3335779 req, miss ratio 0.6236, byte miss ratio 0.6236
/data/course_traces/trace_2.lcs.zst s3fifo cache size 3762, 4764142 req, miss ratio 0.7175, byte miss ratio 0.7175
/data/course_traces/trace_2.lcs.zst s3fifo cache size 37627, 4764142 req, miss ratio 0.3885, byte miss ratio 0.3885
/data/course_traces/trace_3.lcs.zst s3fifo cache size 728, 1151864 req, miss ratio 0.6015, byte miss ratio 0.6015
/data/course_traces/trace_3.lcs.zst s3fifo cache size 7282, 1151864 req, miss ratio 0.1871, byte miss ratio 0.1871
/data/course_traces/trace_4.lcs.zst s3fifo cache size 4263, 4901223 req, miss ratio 0.4259, byte miss ratio 0.4259
/data/course_traces/trace_4.lcs.zst s3fifo cache size 42632, 4901223 req, miss ratio 0.1811, byte miss ratio 0.1811
/data/course_traces/trace_5.lcs.zst s3fifo cache size 4915, 5318502 req, miss ratio 0.7559, byte miss ratio 0.7559
/data/course_traces/trace_5.lcs.zst s3fifo cache size 49156, 5318502 req, miss ratio 0.2002, byte miss ratio 0.2002
/data/course_traces/trace_6.lcs.zst s3fifo cache size 7555, 5954974 req, miss ratio 0.6344, byte miss ratio 0.6344
/data/course_traces/trace_6.lcs.zst s3fifo cache size 75551, 5954974 req, miss ratio 0.3444, byte miss ratio 0.3444
/data/course_traces/trace_7.lcs.zst s3fifo cache size 1646, 9388362 req, miss ratio 0.2352, byte miss ratio 0.2352
/data/course_traces/trace_7.lcs.zst s3fifo cache size 16460, 9388362 req, miss ratio 0.0870, byte miss ratio 0.0870
/data/course_traces/trace_8.lcs.zst s3fifo cache size 3225, 2288064 req, miss ratio 0.7541, byte miss ratio 0.7541
/data/course_traces/trace_8.lcs.zst s3fifo cache size 32254, 2288064 req, miss ratio 0.5442, byte miss ratio 0.5442
/data/course_traces/trace_9.lcs.zst s3fifo cache size 7164, 3354127 req, miss ratio 0.7174, byte miss ratio 0.7174
/data/course_traces/trace_9.lcs.zst s3fifo cache size 71647, 3354127 req, miss ratio 0.3767, byte miss ratio 0.3767
